global_step,predictor_x_gap_mse,x2_mean,phi,predictor_gap_over_x2,predictor_gap_over_phi,fpc_expected_bias_ratio,v_clean_nrmse_fpc,v_clean_nrmse_bc,v_nrmse_ratio_fpc_over_bc,clamp_fraction_fpc,clamp_fraction_bc,clamp_fraction_delta,update_cosine_fpc_bc,update_norm_ratio_fpc_over_bc
1,3.3609238516965123e-12,3.3609238516965123e-12,3.4011442103967075e-08,1.0,9.881744624126056e-05,-0.5,194.74394994487147,389.48660711339784,0.500001659590242,0.7221464265243681,0.703506327211894,0.018640099312474137,0.988542552808691,1.1023822728421093
2,3.40003950528577e-08,3.118321030692964e-12,3.4011442103967075e-08,10903.429992678468,0.9996751960391562,-5451.714996339234,211.25906031698526,319.40072054227267,0.6614232427475852,0.814992756512303,0.6634806865935712,0.15151206991873178,0.9115614376276164,1.1416861097050957
3,1.7041854908487508e-08,5.071161109715698e-12,3.4011442103967075e-08,3360.542988042223,0.5010624029523216,-1680.2714940211115,139.57998970786133,220.09070626824092,0.6341930201166459,0.8449549882929718,0.6476196230157232,0.19733536527724863,0.9246521734585662,1.135579887071785
4,1.142117030053559e-08,3.1036274440354505e-12,3.4011442103967075e-08,3679.942424302501,0.33580376467493067,-1839.9712121512505,134.64573112619843,219.6128659766619,0.6131049313864294,0.856810453955611,0.6396970990372138,0.21711335491839714,0.9358418994939083,1.1328573075264259
5,8.623921280275238e-09,3.0072361007954587e-12,3.4011442103967075e-08,2867.7233816108023,0.2535594125622021,-1433.8616908054012,128.3793595234761,214.37187876739853,0.5988628744667228,0.8631139679390708,0.635778219849422,0.22733574808964893,0.943991215112647,1.1315053262160382
6,6.954317432873423e-09,3.4012625765728176e-12,3.4011442103967075e-08,2044.628215643597,0.20446993725274223,-1022.3141078217985,120.70984251055845,205.04329858487986,0.5887041583101986,0.866849383632973,0.6336412412392601,0.23320814239371293,0.9500890343072911,1.130769513276011
7,5.853377449099364e-09,2.982108305818928e-12,3.4011442103967075e-08,1962.8319460020234,0.17210024294784693,-981.4159730010117,116.90736458120766,201.1402532112376,0.5812231152877763,0.8692638361292093,0.632538376943131,0.23672545918607835,0.9547817645226617,1.130396229346544
8,5.0769771557234354e-09,3.4545556218464943e-12,3.4011442103967075e-08,1469.6469565048546,0.14927262243700215,-734.8234782524273,112.15830553711167,194.881571259689,0.5755203265867319,0.8710982106515076,0.6323473613678746,0.238750849283633,0.9585049302286476,1.1296902939609366
9,4.501894233853642e-09,2.823609675841622e-12,3.4011442103967075e-08,1594.3755513983285,0.13236410911634186,-797.1877756991643,108.38394475418853,189.83812159712386,0.5709282405575098,0.8727635748011524,0.6327322571009747,0.2400313177001777,0.9615225514387327,1.128964730452326
10,4.060003824862709e-09,2.95573018959569e-12,3.4011442103967075e-08,1373.6043428977769,0.11937170474724307,-686.8021714488884,104.93298373676336,184.9828283803237,0.5672579701345127,0.8740273765553707,0.6335206683539926,0.24050670820137807,0.9639926391788897,1.128317154127222
