global_step,predictor_x_gap_mse,x2_mean,phi,predictor_gap_over_x2,predictor_gap_over_phi,fpc_expected_bias_ratio,v_clean_nrmse_fpc,v_clean_nrmse_bc,v_nrmse_ratio_fpc_over_bc,clamp_fraction_fpc,clamp_fraction_bc,clamp_fraction_delta,update_cosine_fpc_bc,update_norm_ratio_fpc_over_bc
1,3.692989034643907e-12,3.692989034643907e-12,2.4028486222960055e-07,1.0,1.5369212194129514e-05,-0.5,1065.8007632605636,2131.6013725106955,0.5000000361255237,0.6885858883890915,0.6855981287504873,0.0029877596386042606,0.9950142875111743,1.033388237623118
2,2.402942719357343e-07,4.5070061630899535e-12,2.4028486222960055e-07,53315.71851479147,1.0000391606281247,-26657.859257395736,1043.4725446143855,1575.9266556551013,0.6621326829329005,0.7895017475255866,0.6366180633807127,0.1528836841448739,0.7989833076920312,1.1566189780078273
3,1.2042160365504256e-07,3.844928593380141e-12,2.4028486222960055e-07,31319.594299455617,0.5011618398997417,-15659.797149727809,944.2983499042939,1487.287003028578,0.6349133341321542,0.8153875480761593,0.6140899442474104,0.201297603828749,0.8205786416276806,1.150184864296114
