global_step,phi,x2_mean,bc_clean_nrmse,negative_fraction,clamp_fraction,active_fraction,update_cosine_to_floor,update_norm_ratio_to_floor,active_update_energy_fraction
1,2.4028486222960055e-07,3.692990637628349e-12,2131.602065567153,0.6826101086952842,0.6855981287504873,0.3144018712495127,0.6162017805354881,0.46653338818120343,0.07331972419743844
2,2.4028486222960055e-07,4.668883939895542e-12,1519.1541847080616,0.6320072572897768,0.6366192352554075,0.3633807647445925,0.684049081797459,0.539381925163051,0.07588966396698577
3,2.4028486222960055e-07,4.062093862304398e-12,1406.3783161395006,0.608353487407946,0.6140921577885006,0.38590784221149943,0.7186696906091433,0.576051692154645,0.07909099568974207
