global_step,q_over_gamma_mean,q_over_gamma_p50,q_over_gamma_p90,q_over_gamma_p99
20,14.72301246367607,1.0,47.66103600672979,99.56944069244861
40,10.608782785031737,1.0,33.4550035082278,67.18202503937702
60,8.775064337583826,1.0,27.222951596665254,53.683823608707854
80,7.676289768587567,1.0,23.512072289122443,45.862134712137966
100,6.925908926439017,1.0,21.003430106247833,40.686564872771676
120,6.3735255254197725,1.0,19.140149021268375,36.86014930318988
140,5.942841725939131,1.0,17.710134396035457,33.93523530329885
160,5.595038822189623,1.0,16.554602429626666,31.596319161053554
180,5.308154649026157,1.0,15.60191975613634,29.708016550481872
200,5.064688140449546,1.0,14.793357649978134,28.10666650532312
220,4.857137375060637,1.0,14.102720768960358,26.771260763780447
240,4.675834316110917,1.0,13.502087152043416,25.578589202268674
260,4.516706137820004,1.0,12.971702526935289,24.524725124782304
280,4.373730359307358,1.0,12.50099164925208,23.607344227608944
300,4.2459417668921455,1.0,12.083335813410182,22.776020832300983
320,4.130869226551918,1.0,11.703253477435288,22.04023002623975
340,4.025570269167933,1.0,11.356782181337621,21.366302268196144
360,3.9287501782885323,1.0,11.035794500457996,20.74888953984556
380,3.8412416439024253,1.0,10.74727743836472,20.184363691555518
400,3.7611594393870713,1.0,10.484802951774938,19.68439017711414
420,3.6852970252231025,1.0,10.2320404001451,19.185719442778773
440,3.6140452037084163,1.0,10.00078005593727,18.737947489929258
460,3.5494780583365344,1.0,9.788768314441162,18.32797439741781
480,3.488694662067476,1.0,9.589461077060454,17.944436455271305
500,3.4319225992936535,1.0,9.400717241684712,17.57660067861859
520,3.3785741659816386,1.0,9.225260555467685,17.242361138869466
540,3.328262188717669,1.0,9.059526462351641,16.929840877348102
560,3.2807846136578718,1.0,8.900732003288189,16.63830531128952
580,3.2358189412677465,1.0,8.753909005084404,16.354939447182954
600,3.19422887343033,1.0,8.616266219026633,16.081062170769663
620,3.154021975896326,1.0,8.477378798943391,15.83408935819838
640,3.1157788100278605,1.0,8.35118522483451,15.591367841238942
660,3.0792394843217337,1.0,8.230003345488512,15.367227372090992
680,3.0444167419199193,1.0,8.118282342669167,15.14797768701707
700,3.0115008355211854,1.0,8.009319429902467,14.93114361039716
720,2.9797310396482,1.0,7.904764250573256,14.734748650842775
740,2.9496441204758934,1.0,7.807668585731638,14.542488221043953
760,2.9207027489237047,1.0,7.711686104509378,14.36209338123718
780,2.8932976907005017,1.0,7.625959123439922,14.189633172160635
