global_step,phi,x2_mean,bc_clean_nrmse,negative_fraction,clamp_fraction,active_fraction,q_over_gamma_mean,q_over_gamma_p50,q_over_gamma_p90,q_over_gamma_p99,update_cosine_to_floor,update_norm_ratio_to_floor,active_update_energy_fraction
1,2.4028486222960055e-07,3.693014543961873e-12,2131.584992515027,0.6826101086952842,0.6855981287504873,0.3144018712495127,39.445933138755684,1.0,136.6135506941646,451.3225045836111,0.6162017803858539,0.46653338794106575,0.07331972343891976
2,2.4028486222960055e-07,4.668890923599596e-12,1519.1481513333154,0.6320071270814773,0.6366192352554075,0.3633807647445925,30.09740357215645,1.0,104.36952303886457,288.91720451914216,0.6840490816445963,0.5393819253081841,0.07588966450809781
3,2.4028486222960055e-07,4.0620628186537316e-12,1406.3793052772894,0.608353487407946,0.6140921577885006,0.38590784221149943,25.32398219813319,1.0,86.84817771609232,223.02572385039375,0.7186696907317853,0.5760516922256118,0.07909099573025825
