global_step,phi,x2_mean,bc_clean_nrmse,negative_fraction,clamp_fraction,active_fraction,update_cosine_to_floor,update_norm_ratio_to_floor,active_update_energy_fraction
1,3.4011442103967075e-08,3.3609238516965123e-12,389.48660711339784,0.6830390148335899,0.8301043411186612,0.16989565888133884,0.9523484582798363,0.7968127531852136,0.3655534950709703
2,3.4011442103967075e-08,3.1407800269814727e-12,329.95108986218156,0.6324726217519214,0.8477629302700702,0.15223706972992976,0.97730652596825,0.884591120716301,0.2830477750304612
3,3.4011442103967075e-08,4.495950395781442e-12,244.6760493670944,0.6086753623241244,0.869882716176376,0.130117283823624,0.9868789533409488,0.924262683183801,0.2298831621238862
4,3.4011442103967075e-08,3.1158637712587297e-12,241.23056803441534,0.5941797931823455,0.8895176068964565,0.11048239310354346,0.9916174962334908,0.9466013943470962,0.19072377940436416
5,3.4011442103967075e-08,3.33405842075395e-12,223.03615854912368,0.5842521916009917,0.906240779624797,0.09375922037520303,0.9943598689401706,0.9608701290581012,0.16020913431994985
6,3.4011442103967075e-08,3.3948796002064393e-12,210.8732179374707,0.5771200319999916,0.9202912967991415,0.07970870320085854,0.996048939250743,0.9705174310961443,0.13548598443011403
7,3.4011442103967075e-08,3.4486846248002214e-12,199.36489428706273,0.5712141741629755,0.9320488458206131,0.06795115417938694,0.9971592108329667,0.9772961242028283,0.11551659266827376
8,3.4011442103967075e-08,3.541375912677956e-12,191.44190593936156,0.5666732899288307,0.9418983224223119,0.05810167757768813,0.997912824572465,0.9822623047976796,0.09889077552651784
9,3.4011442103967075e-08,2.782660873580658e-12,189.0306742276094,0.562699593046981,0.9502554817043016,0.04974451829569836,0.9984372022759337,0.9859941456972227,0.08457887748148174
10,3.4011442103967075e-08,2.9560970420700895e-12,183.73830810689924,0.5597166511154554,0.9573336048610404,0.0426663951389596,0.9988230473978916,0.9888333604093514,0.07283920668882511
11,3.4011442103967075e-08,3.0907990721074762e-12,178.5513843273681,0.5569032403897811,0.9633681084978885,0.03663189150211159,0.9990969562861501,0.9910389583968603,0.06263989227030856
12,3.4011442103967075e-08,2.7745373339582268e-12,174.41877552886706,0.5545545430847544,0.9685304769451883,0.0314695230548117,0.9993031769503674,0.9927615966631456,0.05398317918635218
13,3.4011442103967075e-08,3.1713812322024596e-12,169.55971786495422,0.5525624863118526,0.9729091216382496,0.027090878361750427,0.9994582347866103,0.9941123221405889,0.04656526247474517
14,3.4011442103967075e-08,3.1271747085829187e-12,164.64308276370147,0.5506919138823141,0.9766481831645356,0.023351816835464365,0.9995753429801314,0.9951906240858066,0.040142035694858275
15,3.4011442103967075e-08,2.8003573920696087e-12,162.22977707605338,0.5490002476561855,0.9798580781619588,0.02014192183804119,0.9996669665117766,0.9960571598735525,0.03489788345043496
16,3.4011442103967075e-08,2.716558801411327e-12,159.84652583277708,0.5473269408002759,0.9826240930666424,0.01737590693335757,0.9997342887053635,0.9967453960525242,0.030119771427687434
17,3.4011442103967075e-08,3.0810322318490445e-12,155.71288351136508,0.5458606651404518,0.984955602876145,0.015044397123854915,0.9997875904518226,0.9973111126100013,0.026100997346555122
18,3.4011442103967075e-08,3.1258883444571915e-12,152.23493249228284,0.5446127487987633,0.9869472690241486,0.013052730975851308,0.9998285519846728,0.9977559275778577,0.022742157439198225
19,3.4011442103967075e-08,2.9936560618753063e-12,150.1508032476678,0.543530978247141,0.9887238310615023,0.011276168938497672,0.9998616886350488,0.99812945740723,0.019667178708103233
20,3.4011442103967075e-08,2.9310053724780663e-12,147.46068330614787,0.5423210827288847,0.990208075466647,0.009791924533352986,0.9998890971045727,0.9984372373888026,0.017244235812143162
21,3.4011442103967075e-08,2.783005268380623e-12,145.37932758972084,0.5412828017492703,0.9915147157513761,0.008485284248623893,0.9999098867178868,0.9986940665195261,0.014978422191083144
22,3.4011442103967075e-08,2.6453734440800554e-12,143.4133645031245,0.5402066301545234,0.9926225279628833,0.007377472037116657,0.9999264893378267,0.9989027765799828,0.013014833471358088
23,3.4011442103967075e-08,2.8056448797681095e-12,141.36913288553885,0.5392882710186794,0.9936022152077565,0.0063977847922435434,0.999940155818131,0.99907774566639,0.011318660989973545
24,3.4011442103967075e-08,2.626317108022645e-12,139.78564563636155,0.5387196513750908,0.9944115899969818,0.005588410003018228,0.999951191572168,0.999221707929118,0.009895712140911225
25,3.4011442103967075e-08,3.860433130648029e-12,136.02355353566546,0.5377114485126436,0.9951453137642412,0.004854686235758793,0.9999596487495184,0.9993430551795859,0.00855821435477746
26,3.4011442103967075e-08,2.9198026788604084e-12,133.88922042075276,0.5369428289211383,0.9957704438097803,0.0042295561902197425,0.9999669548470838,0.9994480417755786,0.0074003666593424255
27,3.4011442103967075e-08,3.424592525569883e-12,131.39328314703866,0.5361831937022933,0.9963035165876258,0.0036964834123741114,0.9999724079068476,0.9995288995829712,0.006545895128541771
28,3.4011442103967075e-08,3.650367413258696e-12,128.4338320079591,0.5355214751246159,0.9967864591701929,0.0032135408298070755,0.9999776389557117,0.9996035988887786,0.005696312361704857
29,3.4011442103967075e-08,3.0896360952173163e-12,126.27599275434585,0.5349275950709388,0.9972057298943412,0.0027942701056588265,0.9999814506760797,0.9996638599038603,0.004990841106639267
30,3.4011442103967075e-08,2.9047046628118994e-12,124.5427473435355,0.5344065014566403,0.9975606777185735,0.002439322281426489,0.9999847580558446,0.9997153939195889,0.004404760132804975
31,3.4011442103967075e-08,3.1607103895324954e-12,122.67061652931218,0.5338404859790401,0.9978657557641261,0.002134244235873897,0.999987355388824,0.9997580427817766,0.0038690630637037127
32,3.4011442103967075e-08,2.9412349998175615e-12,121.15124851027247,0.5333093663256858,0.9981523442311604,0.0018476557688396436,0.9999896600900324,0.9997972707085637,0.003307928090543776
33,3.4011442103967075e-08,3.372197348476383e-12,119.28656105636891,0.5327682206332759,0.998405338956943,0.00159466104305702,0.9999916492994436,0.9998305881969664,0.0028476958812938854
34,3.4011442103967075e-08,3.0064901633160033e-12,117.79433267340792,0.532269392638179,0.9986042972384642,0.0013957027615357392,0.9999929492209257,0.999854193035587,0.0025395241662303785
35,3.4011442103967075e-08,3.204401681398076e-12,116.17031622552511,0.5319067625242806,0.9987885419821505,0.0012114580178494746,0.9999942779015918,0.9998779530723311,0.002211651562359119
36,3.4011442103967075e-08,3.3875011339609862e-12,114.39489573611381,0.5314321532728767,0.9989350263190035,0.0010649736809964373,0.9999951320355301,0.9998955923737542,0.0019269048322015888
37,3.4011442103967075e-08,3.1832800356550796e-12,112.82086272092116,0.5309402263176494,0.9990838544052463,0.0009161455947537514,0.9999958781740627,0.9999103330987693,0.0016546683420340966
38,3.4011442103967075e-08,2.7667780250286053e-12,111.79502694739251,0.5304548097773932,0.999193489793362,0.000806510206637967,0.9999964195654906,0.9999209001529867,0.0014889322349756632
39,3.4011442103967075e-08,3.5361952066155267e-12,109.93300308047682,0.5300015546870951,0.9992910158096313,0.0007089841903687005,0.9999969554245223,0.9999323249660501,0.0012977513951549756
40,3.4011442103967075e-08,3.709620476292292e-12,108.11359952174548,0.5295165287717373,0.9993778647453477,0.0006221352546522775,0.9999975247576739,0.9999431170067196,0.0011256168363677668
41,3.4011442103967075e-08,2.839129091089199e-12,107.20889593791512,0.5292203048905456,0.999467448055352,0.0005325519446479311,0.999997896771877,0.9999513630628344,0.0009768179500126229
42,3.4011442103967075e-08,2.6306491453099593e-12,106.41271466773516,0.5287631435512647,0.9995334636631605,0.0004665363368394956,0.9999980391354535,0.9999561822159919,0.0008711739467310877
43,3.4011442103967075e-08,2.957687935015247e-12,105.57061820440912,0.528325643665197,0.9995936198974948,0.00040638010250518167,0.9999984225372064,0.9999633403168877,0.000754558375136946
44,3.4011442103967075e-08,3.169122853542782e-12,104.48163436703874,0.5282093676538105,0.9996445313425699,0.0003554686574300371,0.9999987284668418,0.9999689691996376,0.0006652426365151258
45,3.4011442103967075e-08,3.063600361142085e-12,103.46819972040336,0.5278476489980081,0.9996802084166124,0.0003197915833876085,0.9999988692257995,0.9999732518224744,0.0005809552730012872
46,3.4011442103967075e-08,2.9777601104098375e-12,102.6316733160584,0.5274080657791496,0.9997220052807277,0.0002779947192722085,0.9999989850073984,0.9999762325844304,0.000509142573334351
47,3.4011442103967075e-08,2.9653776523993746e-12,101.71054927275,0.5271094981485682,0.9997570313132731,0.0002429686867269045,0.9999991559898227,0.9999798025304396,0.00044339732089837314
48,3.4011442103967075e-08,2.5176132158601903e-12,101.09083402572253,0.5267928315643667,0.99978489588935,0.00021510411064997118,0.9999992647171914,0.999981816317603,0.00038322407587737176
49,3.4011442103967075e-08,2.4381983594601954e-12,100.39439771127563,0.5265098889297164,0.9998096354662408,0.000190364533759236,0.9999993665912158,0.9999838555450337,0.0003530315809323935
50,3.4011442103967075e-08,2.9801501794145237e-12,99.50557878755109,0.5263028577336308,0.9998347656680298,0.00016523433197022605,0.9999994746296169,0.9999862117390853,0.0003025537142975268
51,3.4011442103967075e-08,3.2429826435515e-12,98.36580518333604,0.5260042901030495,0.9998536458714464,0.00014635412855361235,0.9999995598950544,0.9999878812700403,0.00028147270257619373
52,3.4011442103967075e-08,3.068734180704997e-12,97.5871034231345,0.5256887953935429,0.999874348991055,0.00012565100894504976,0.9999995674381711,0.999988716674412,0.0002487297533580527
53,3.4011442103967075e-08,3.2685021652027966e-12,96.7196118474561,0.5256066339566058,0.9998876302375963,0.0001123697624037077,0.9999996582852987,0.9999906246388478,0.00022301268902362318
54,3.4011442103967075e-08,3.5143002089337847e-12,95.51395299862061,0.5252891861226078,0.999901953150533,9.804684946696628e-05,0.9999997465975058,0.9999924383060576,0.00019030017280369758
55,3.4011442103967075e-08,3.0063759196056035e-12,94.70382303631904,0.5250157486938154,0.9999125000227864,8.74999772135476e-05,0.9999997814407617,0.9999935521897285,0.00016366422172710906
56,3.4011442103967075e-08,2.9144777782572505e-12,93.98701319028076,0.5247089779403703,0.999922786478441,7.721352155897877e-05,0.9999998194041365,0.9999943549639949,0.00014526241523655367
57,3.4011442103967075e-08,3.5617786385959224e-12,93.07294199001294,0.5245318946531524,0.9999334635589938,6.653644100613515e-05,0.9999998485924735,0.9999953546917627,0.00011646135625377994
58,3.4011442103967075e-08,3.1718427094181354e-12,92.249790996436,0.5242329363976728,0.9999425781399536,5.7421860046390616e-05,0.9999998786934812,0.9999960707944884,0.00010113327977383939
59,3.4011442103967075e-08,3.431542885793997e-12,91.33613796926083,0.5240343687410498,0.9999502604296197,4.973957038032021e-05,0.9999998991883928,0.9999967487937015,8.536923523465611e-05
60,3.4011442103967075e-08,2.718297663048918e-12,90.87353323323248,0.5237591083960655,0.9999539062620035,4.6093737996422397e-05,0.999999915334444,0.999997199090637,7.884701330814879e-05
61,3.4011442103967075e-08,3.490703814941096e-12,89.97672598720652,0.5236343688452164,0.9999579427192857,4.205728071424981e-05,0.9999999384961702,0.9999977465836369,6.858826763933086e-05
62,3.4011442103967075e-08,2.8416965481200438e-12,89.51291709131756,0.5233880147427045,0.9999645833425564,3.541665744357879e-05,0.9999999474044926,0.9999981303407324,5.4240174740749894e-05
63,3.4011442103967075e-08,2.777450377129755e-12,88.99129980626049,0.5232907491430341,0.9999688802164375,3.111978356255636e-05,0.9999999577700981,0.9999983818615902,5.2259285376243214e-05
64,3.4011442103967075e-08,3.08239750273021e-12,88.3583606877273,0.5229799419323068,0.9999725260488214,2.7473951178658548e-05,0.9999999539658464,0.9999983074691854,5.267033927930289e-05
65,3.4011442103967075e-08,3.0633417724789982e-12,87.79676712976965,0.5229005148696576,0.9999755208397081,2.447916029188534e-05,0.9999999607823917,0.9999984626628822,5.1979883179828964e-05
66,3.4011442103967075e-08,2.8623563275996883e-12,87.31258333752473,0.5226890565913915,0.9999782552139961,2.1744786003961977e-05,0.9999999699327199,0.9999987398447511,4.20309063949989e-05
67,3.4011442103967075e-08,3.132372151037311e-12,86.68341159688852,0.5226071555710532,0.9999817708380805,1.8229161919489082e-05,0.9999999750848778,0.9999990195798631,3.4456938812412586e-05
68,3.4011442103967075e-08,3.1545717836868038e-12,86.0605889815008,0.5224296816589371,0.999984375004069,1.5624995930990643e-05,0.9999999767261892,0.9999991343598262,2.6538547377564064e-05
69,3.4011442103967075e-08,2.8617520324246875e-12,85.48685757675808,0.5222964785686254,0.9999855468787638,1.4453121236166345e-05,0.9999999785552002,0.999999222768954,2.2214342656375877e-05
70,3.4011442103967075e-08,3.1832368357524867e-12,84.83381939786395,0.5220148380169692,0.9999880208364529,1.1979163547092827e-05,0.9999999782051849,0.9999992200485587,2.0522778810633874e-05
71,3.4011442103967075e-08,2.5516543653051605e-12,84.54342022680552,0.5217921818249527,0.9999890625028484,1.093749715169345e-05,0.9999999838423813,0.9999993591323314,1.9822591995273008e-05
72,3.4011442103967075e-08,2.9126058258169096e-12,84.04745957678037,0.5217450464205609,0.9999898437526449,1.0156247355143918e-05,0.9999999842101651,0.9999994708205704,1.58876881783132e-05
73,3.4011442103967075e-08,3.3319374497542112e-12,83.49738948532517,0.5215443954311471,0.9999907552107409,9.244789259169464e-06,0.9999999882807334,0.9999995644179741,1.5088065929217728e-05
74,3.4011442103967075e-08,3.016077437078981e-12,82.98250182570683,0.5212972600788385,0.9999917968771362,8.203122863770088e-06,0.9999999895320004,0.9999995516713697,1.4298067852456182e-05
75,3.4011442103967075e-08,3.5477335414683306e-12,82.1669114539734,0.5212430934262777,0.9999924479186334,7.552081366645478e-06,0.9999999871495684,0.9999994801927689,1.4554162848784579e-05
76,3.4011442103967075e-08,3.0888287037983947e-12,81.57024902220832,0.521182806983644,0.9999930989601304,6.901039869520867e-06,0.9999999864570372,0.9999994547135986,1.5172982280194326e-05
77,3.4011442103967075e-08,2.78061778993506e-12,81.31492970203148,0.5209726507883722,0.9999941406265259,5.859373474121491e-06,0.9999999912064312,0.9999995824868965,1.3167679852376038e-05
78,3.4011442103967075e-08,2.7709803957393003e-12,80.93331351748101,0.5208533799860989,0.9999941406265259,5.859373474121491e-06,0.9999999908178758,0.9999995886557056,1.5631924391345984e-05
79,3.4011442103967075e-08,2.994588418751021e-12,80.42256321136387,0.5207283800186511,0.9999950520846218,4.947915378147037e-06,0.9999999910399785,0.9999995892524545,1.3651755220422536e-05
80,3.4011442103967075e-08,3.1351481504760576e-12,79.78631979627437,0.5207346300170235,0.9999959635427178,4.036457282172583e-06,0.999999994341913,0.9999997170342209,1.0435765750680957e-05
81,3.4011442103967075e-08,3.4907579785862234e-12,79.15646774294355,0.5204509061325765,0.999995703126119,4.296873881022427e-06,0.9999999934213588,0.9999997181241783,1.1341907805463152e-05
82,3.4011442103967075e-08,2.3539526888054114e-12,78.88224309484177,0.5203062447119154,0.9999970052091133,2.9947908867732067e-06,0.9999999973905076,0.9999998554560463,6.9727982706055755e-06
83,3.4011442103967075e-08,3.460031793240191e-12,78.26648151960475,0.5201903593254272,0.999996614584215,3.3854157850479728e-06,0.9999999971270254,0.9999998735852279,5.693221565963145e-06
84,3.4011442103967075e-08,3.2686786181781387e-12,77.80575714454977,0.5200042916655491,0.999997526042311,2.4739576890735183e-06,0.9999999971593164,0.9999998855131134,4.221345357830942e-06
85,3.4011442103967075e-08,3.3162423569568003e-12,77.31020089811699,0.5198894479454562,0.9999976562506103,2.3437493896485964e-06,0.9999999979218371,0.999999903277964,3.7243240491423587e-06
86,3.4011442103967075e-08,3.185491418669648e-12,76.86730281172598,0.5197331979861464,0.9999980468755086,1.9531244913738304e-06,0.9999999976640391,0.9999998979790102,3.0257436601579764e-06
87,3.4011442103967075e-08,2.977456042665757e-12,76.41263479420819,0.5197186146566107,0.999998177083808,1.8229161919489083e-06,0.9999999981707568,0.9999999143916439,2.445025988596436e-06
88,3.4011442103967075e-08,3.674759585110457e-12,75.70588710952953,0.5196860625817545,0.9999979166672092,2.0833327907987522e-06,0.9999999993510787,0.9999999593585528,1.8279820516092978e-06
89,3.4011442103967075e-08,2.8763819925338426e-12,75.36816855892212,0.5195376251204101,0.9999977864589098,2.2135410902236746e-06,0.9999999968640745,0.9999998693770856,3.857664982427121e-06
90,3.4011442103967075e-08,3.5191653505978104e-12,74.88984563441188,0.5194837188844482,0.999997526042311,2.4739576890735183e-06,0.9999999982750305,0.9999998951753433,6.215251198879142e-06
