global_step,phi,x2_mean,bc_clean_nrmse,negative_fraction,clamp_fraction,active_fraction,update_cosine_to_floor,update_norm_ratio_to_floor,active_update_energy_fraction
1,2.4028486222960055e-07,3.800365482745225e-12,2123.7037528523624,0.682501254556965,0.6855272954356001,0.31447270456439985,0.6161592223021006,0.46649070733698444,0.0733301947060018
2,2.4028486222960055e-07,3.652552462446175e-12,1872.9358866314026,0.6319386375159798,0.6365051727851112,0.36349482721488874,0.6841536922396925,0.5394347352295394,0.07582364913553029
3,2.4028486222960055e-07,3.275430080621083e-12,1724.391829053919,0.6080234093689038,0.6137878609927445,0.3862121390072555,0.7188026362120918,0.576053002884669,0.0790983102606623
