global_step,q_over_gamma_mean,q_over_gamma_p50,q_over_gamma_p90,q_over_gamma_p99
20,14.723017837222036,1.0,47.661392462335556,99.57363028926629
40,10.608798919434282,1.0,33.451321712618665,67.18451122840946
60,8.774969537236018,1.0,27.221943810218374,53.68560103136134
80,7.67629698588892,1.0,23.51046883101543,45.85602345249149
100,6.925845871425935,1.0,21.007042031821282,40.689395556607145
120,6.373504036885859,1.0,19.141581949118827,36.85475012578839
140,5.94278466165243,1.0,17.710738357360853,33.930464008828196
160,5.594874916619157,1.0,16.553868202133046,31.59237576729387
180,5.30803502094367,1.0,15.60261845649317,29.710065045189076
200,5.064529299667389,1.0,14.793748448482802,28.10504421783359
220,4.8569354441195465,1.0,14.104000930122615,26.775594719197223
240,4.675613992899047,1.0,13.500145001899005,25.57647095594955
260,4.5165009147961035,1.0,12.971536733630279,24.52495048525332
280,4.373489631811629,1.0,12.501441659651396,23.60499860761443
300,4.245704239404879,1.0,12.080860756213951,22.773166818979014
320,4.130623589361242,1.0,11.70104013681339,22.037397092352336
340,4.025323486289584,1.0,11.355205960702131,21.36713312950178
360,3.928487860335202,1.0,11.034716843975426,20.746782070091285
380,3.8409959418157706,1.0,10.746958878371515,20.18208959952973
400,3.760872188376897,1.0,10.484046223761348,19.67522429424662
420,3.6850167445007687,1.0,10.231910133976877,19.18371831758729
440,3.613765395425129,1.0,10.000177278849762,18.73724878957243
460,3.5491974441597995,1.0,9.78828159266717,18.321142055318305
480,3.4883872719913014,1.0,9.588584741019682,17.941239249807957
500,3.43161451523044,1.0,9.401404099662614,17.57201755954915
520,3.378276093210118,1.0,9.224407904184773,17.238252188652346
540,3.327960410657207,1.0,9.0595501471095,16.928668600257886
560,3.2804639966146527,1.0,8.899737243458125,16.636930884790996
580,3.235496150100807,1.0,8.753306227996896,16.351269020257575
600,3.1938925207142783,1.0,8.615733311974813,16.078326462813198
620,3.153670248741431,1.0,8.476832865274753,15.831127934499538
640,3.1153985266518207,1.0,8.350487708715567,15.587957354531081
660,3.07884913664598,1.0,8.23060612257602,15.361850932057074
680,3.0440161140629005,1.0,8.118306027427025,15.148119677140436
